Quotation,Credit,Length,
The moon is my mother, -- Sylvia Plath,21,
It's the moon that moves me., -- Bavo Dhooge,28,
They asked the Moon her advice., -- Erin Morgenstern,31,
The moon in her chariot of pearl, -- Oscar Wilde,32,
Be the moon in somebody's night., -- Yasmin Mogahed,32,
"There above them it hung, that moon.", -- Virginia Woolf,36,
"Go slowly, my lovely moon, go slowly.", -- Khaled Hosseini,37,
"Be witness to me, O thou blessed moon", -- William Shakespeare,37,
Moonlight is the twinkle of your love., -- Debasish Mridha,38,
